Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"CARS 2018—Computer Assisted Radiology and Surgery Proceedings of the 32nd International Congress and Exhibition Berlin, Germany, June 20–23, 2018",International Journal of Computer Assisted Radiology and Surgery,,,,10.1007/s11548-018-1766-y,,2018,https://link.springer.com/article/10.1007/s11548-018-1766-y,Article
Development of friction model for offset strip fin with separated viscous and inertial resistances,Journal of Mechanical Science and Technology,,,,10.1007/s12206-017-1149-2,Taek Keun Kim,2017,https://link.springer.com/article/10.1007/s12206-017-1149-2,Article
Lessons learned from the Existing Building Energy Optimization workshop: An initiative for the analysis-driven retrofit decision making,KSCE Journal of Civil Engineering,,,,10.1007/s12205-016-0727-7,Sangchul KimSean Hay Kim,2016,https://link.springer.com/article/10.1007/s12205-016-0727-7,Article
A study on human gait dynamics: modeling and simulations on OpenSim platform,Multimedia Tools and Applications,,,,10.1007/s11042-016-4033-7,Anup NandyPavan Chakraborty,2016,https://link.springer.com/article/10.1007/s11042-016-4033-7,Article
Middleware for mobile medical data management with minimal latency,Information Systems Frontiers,,,,10.1007/s10796-016-9729-8,Richard K. LomoteyRalph Deters,2016,https://link.springer.com/article/10.1007/s10796-016-9729-8,Article
Wave-to-Wire Modelling of WECs,Handbook of Ocean Wave Energy,,,,10.1007/978-3-319-39889-1_10,Marco Alves,2017,https://link.springer.com/chapter/10.1007/978-3-319-39889-1_10,Chapter
"A Survey of Free Software for the Design, Analysis, Modelling, and Simulation of an Unmanned Aerial Vehicle",Archives of Computational Methods in Engineering,,,,10.1007/s11831-015-9147-y,Tomáš Vogeltanz,2015,https://link.springer.com/article/10.1007/s11831-015-9147-y,Article
Methodology considering surface roughness in UV water disinfection reactors,Chemical Papers,,,,10.1515/chempap-2016-0020,Tipu SultanJin-Soo Cho,2016,https://link.springer.com/article/10.1515/chempap-2016-0020,Article
Aerodynamic Design Technologies for Turbines,Axial Turbine Aerodynamics for Aero-engines,,,,10.1007/978-981-10-5750-2_6,Zhengping ZouSongtao WangHuoxing LiuWeihao Zhang,2018,https://link.springer.com/chapter/10.1007/978-981-10-5750-2_6,Chapter
Performance and Cost Trade-Off in IaaS Environments: A Scientific Workflow Simulation Environment Case Study,Cloud Computing and Services Science,,,,10.1007/978-3-319-29582-4_9,Santiago Gómez SáezVasilios AndrikopoulosMichael HahnDimka KarastoyanovaFrank LeymannMarigianna SkouradakiKarolina Vukojevic-Haupt,2016,https://link.springer.com/chapter/10.1007/978-3-319-29582-4_9,Conference paper
A review of cavitation in hydraulic machinery,Journal of Hydrodynamics,,,,10.1016/S1001-6058(16)60638-8,Xian-wu LuoBin JiYoshinobu Tsujimoto,2016,https://link.springer.com/article/10.1016/S1001-6058(16)60638-8,Article
Coupled adjoint aerostructural wing optimization using quasi-three-dimensional aerodynamic analysis,Structural and Multidisciplinary Optimization,,,,10.1007/s00158-016-1447-9,Ali ElhamMichel J. L. van Tooren,2016,https://link.springer.com/article/10.1007/s00158-016-1447-9,Article
Energy Consumption Analysis and Design of Energy-Aware WSN Agents in fUML,Modelling Foundations and Applications,,,,10.1007/978-3-319-21151-0_1,Luca BerardinelliAntinisca Di MarcoStefano PaceLuigi PomanteWalter Tiberti,2015,https://link.springer.com/chapter/10.1007/978-3-319-21151-0_1,Conference paper
Flying Robots,Springer Handbook of Robotics,,,,10.1007/978-3-319-32552-1_26,Stefan LeuteneggerChristoph HürzelerAmanda K. StowersKostas AlexisMarkus W. AchtelikDavid LentinkPaul Y. OhRoland Siegwart,2016,https://link.springer.com/chapter/10.1007/978-3-319-32552-1_26,Chapter
Thermal and Energy Modeling of PCM-Enhanced Building Envelopes,PCM-Enhanced Building Components,,,,10.1007/978-3-319-14286-9_6,Jan Kośny,2015,https://link.springer.com/chapter/10.1007/978-3-319-14286-9_6,Chapter
Methodology for bus structure torsion stiffness and natural vibration frequency prediction based on a dimensional analysis approach,International Journal of Automotive Technology,,,,10.1007/s12239-014-0047-1,A. GauchíaE. OlmedaM. J. L. BoadaB. L. BoadaV. Díaz,2014,https://link.springer.com/article/10.1007/s12239-014-0047-1,Article
Numerical study to estimate the cutting power on a disc cutter in jointed rock mass,KSCE Journal of Civil Engineering,,,,10.1007/s12205-015-2265-0,Sung-Oong ChoiSeung-Joong Lee,2015,https://link.springer.com/article/10.1007/s12205-015-2265-0,Article
Software Interoperability for Energy Efficient Building Operations Based on the IFC Data Model Standard,Progress in Sustainable Energy Technologies Vol II,,,,10.1007/978-3-319-07977-6_21,Hasan Ufuk GökçeKamil Umut Gökçe,2014,https://link.springer.com/chapter/10.1007/978-3-319-07977-6_21,Chapter
Multi-attribute Utility Model Based on the Maximum Entropy Principle Applied in the Evaluation of the Financial Performance of Brazilian Banks,Decision Models in Engineering and Management,,,,10.1007/978-3-319-11949-6_3,Ivan Ricardo Gartner,2015,https://link.springer.com/chapter/10.1007/978-3-319-11949-6_3,Chapter
Virtual Energy Platform for Low Energy Building Operations,Progress in Sustainable Energy Technologies Vol II,,,,10.1007/978-3-319-07977-6_22,Hasan Ufuk GökçeKamil Umut Gökçe,2014,https://link.springer.com/chapter/10.1007/978-3-319-07977-6_22,Chapter
A Simple Concept for the Performance Analysis of Cluster-Computing,Supercomputing,,,,10.1007/978-3-642-38750-0_13,Heinz KredelSabine RichlingJan Philipp KruseErich StrohmaierHans-Günther Kruse,2013,https://link.springer.com/chapter/10.1007/978-3-642-38750-0_13,Conference paper
Influences of knowledge spillover and utilization on the NIS performance: a multi-stage efficiency perspective,Quality & Quantity,,,,10.1007/s11135-014-0083-y,Chia-Chin Chang,2014,https://link.springer.com/article/10.1007/s11135-014-0083-y,Article
Performance Analysis of a Thermoelectric Generator Through Component in the Loop Simulation,Proceedings of the FISITA 2012 World Automotive Congress,,,,10.1007/978-3-642-33750-5_28,Guangyu DongRichard StobartAnusha WijewardaneJing Li,2013,https://link.springer.com/chapter/10.1007/978-3-642-33750-5_28,Conference paper
Mechanistic evaluation of cracking in in-service asphalt pavements,Materials and Structures,,,,10.1617/s11527-014-0307-6,Hong Joon ParkMehran EslaminiaY. Richard Kim,2014,https://link.springer.com/article/10.1617/s11527-014-0307-6,Article
Coda and Critical Discussion: A Systemic Analysis of an Intelligent OLE,Towards an Intelligent Learning Management System Under Blended Learning,,,,10.1007/978-3-319-02078-5_12,Sofia B. DiasJosé A. DinizLeontios J. Hadjileontiadis,2014,https://link.springer.com/chapter/10.1007/978-3-319-02078-5_12,Chapter
Efficient Batched Synchronization in Dropbox-Like Cloud Storage Services,Middleware 2013,,,,10.1007/978-3-642-45065-5_16,Zhenhua LiChristo WilsonZhefu JiangYao LiuBen Y. ZhaoCheng JinZhi-Li ZhangYafei Dai,2013,https://link.springer.com/chapter/10.1007/978-3-642-45065-5_16,Conference paper
Computer performance analysis and the Pi Theorem,Computer Science - Research and Development,,,,10.1007/s00450-010-0147-8,Robert W. Numrich,2010,https://link.springer.com/article/10.1007/s00450-010-0147-8,Article
Optimization methodology assessment for the inlet velocity profile of a hydraulic turbine draft tube: part II—performance evaluation of draft tube model,Journal of Global Optimization,,,,10.1007/s10898-012-0011-4,Galván SergioRubio CarlosJesús PachecoSolorio GildardoCarbajal Georgina,2012,https://link.springer.com/article/10.1007/s10898-012-0011-4,Article
Remote sensing contributing to assess earthquake risk: from a literature review towards a roadmap,Natural Hazards,,,,10.1007/s11069-012-0322-2,Christian GeißHannes Taubenböck,2012,https://link.springer.com/article/10.1007/s11069-012-0322-2,Article
CORAMOD: a checklist-oriented model-based requirements analysis approach,Requirements Engineering,,,,10.1007/s00766-012-0154-3,William BraceKalevi Ekman,2012,https://link.springer.com/article/10.1007/s00766-012-0154-3,Article
Embedded programming and real-time signal processing of swimming strokes,Sports Engineering,,,,10.1007/s12283-011-0070-7,T. Le SageA. BindelP. P. ConwayL. M. JusthamS. E. SlawsonA. A. West,2011,https://link.springer.com/article/10.1007/s12283-011-0070-7,Article
Measuring the Quality of Life and the Construction of Social Indicators,Handbook of Social Indicators and Quality of Life Research,,,,10.1007/978-94-007-2421-1_10,Filomena MagginoBruno D. Zumbo,2012,https://link.springer.com/chapter/10.1007/978-94-007-2421-1_10,Chapter
Numerical analysis of the Nanjing Dashengguan Yangtze River Bridge subjected to non-uniform seismic excitations,Journal of Mechanical Science and Technology,,,,10.1007/s12206-011-0230-5,Chaoyi XiaTieyi Zhong,2011,https://link.springer.com/article/10.1007/s12206-011-0230-5,Article
Planetary rovers’ wheel–soil interaction mechanics: new challenges and applications for wheeled mobile robots,Intelligent Service Robotics,,,,10.1007/s11370-010-0080-5,Liang DingZongquan DengHaibo GaoKeiji NagataniKazuya Yoshida,2010,https://link.springer.com/article/10.1007/s11370-010-0080-5,Article
