FROM: http://127.0.0.1:8888/?corpus=762da13ca8334f4c7365a770c7768967&panels=collocatesgraph,reader,trends,summary,bubblelines&lang=en

Term	inDocumentsCount	RawFrequency	RelativeFrequency	RelativePeakedness	RelativeSkewness	Distributions
forces	5	118	0.0020960637	-1.4197671	0.26681018	0.0,7.7052735E-4,0.0029952931,0.0019286403,0.004621072,0.0057445867
values	6	114	0.0020250108	0.33197308	0.45130053	3.4614053E-4,0.0020226343,0.0027813436,0.0022179363,0.0043130005,0.0010310797
similarity	5	114	0.0020250108	-2.1314583	-0.31693012	0.0024229838,0.0029376354,0.0012836971,0.0024108004,0.0,2.945942E-4
different	6	107	0.0019006679	-1.8361144	0.95953673	0.0015576323,0.0014928967,0.0016046213,0.0029893925,0.0030807147,0.0016202681
surface	6	106	0.0018829047	-2.465559	0.3087549	3.4614053E-4,9.150012E-4,0.0032092426,5.7859207E-4,0.005237215,0.0047135074
hardware	5	105	0.0018651414	0.7955148	1.0678883	0.0,0.0013965808,0.0020325202,5.7859207E-4,0.0033887862,0.0058918837
relationship	6	104	0.0018473781	2.9257627	1.6462357	1.7307026E-4,0.0037081628,0.0012836971,4.8216007E-4,0.0015403574,5.891884E-4
γ	3	101	0.0017940884	0.48627114	1.1044099	0.0,0.0025523717,0.0,0.0,0.0070856437,0.0036824273
matrix	5	98	0.0017407986	-0.32629526	-0.12672009	0.0,0.0027931617,6.4184854E-4,0.0018322082,0.0018484289,0.0013256739
value	5	97	0.0017230354	1.3205281	-1.1676316	0.0,0.0018300024,0.0023534447,0.0023143683,0.0015403574,0.0011783768
byte	4	95	0.0016875089	-1.9125794	0.36919066	0.0,0.0029376354,0.0012836971,0.0,9.2421443E-4,0.0027986448
unit	6	94	0.0016697457	-2.0178628	-0.27676594	3.4614053E-4,0.002407898,0.0011767223,8.6788816E-4,0.0024645717,0.0020621594
line	5	92	0.0016342191	-1.3073848	0.45922855	0.0,0.0026968457,0.0013906718,0.0019286403,6.1614293E-4,1.472971E-4
processors	5	91	0.0016164558	-1.9813778	0.29640397	0.0,3.8526367E-4,0.0035301668,0.0027965284,0.004621072,8.837826E-4
numrich	5	91	0.0016164558	2.1361964	-1.2198251	0.0,0.0014447387,0.0014976466,0.0026036645,0.0021565002,0.0019148623
measured	5	91	0.0016164558	0.39724118	0.8862043	0.0,0.0013965808,7.488233E-4,0.0038572806,0.0024645717,0.0010310797
algorithm	5	89	0.0015809294	2.9237978	1.5568771	0.0,8.668433E-4,0.0011767223,0.0024108004,0.0061614295,0.0022094564
units	6	87	0.0015454029	0.35855752	1.0890653	3.4614053E-4,0.0026968457,9.627728E-4,8.6788816E-4,0.0018484289,7.3648547E-4
memory	5	87	0.0015454029	3.294241	1.7848922	0.0,0.0031784251,0.0012836971,4.8216007E-4,6.1614293E-4,2.945942E-4
9978	1	87	0.0015454029	6.0	2.4494898	0.015057113,0.0,0.0,0.0,0.0,0.0
s0965	1	86	0.0015276396	6.0	2.4494898	0.014884043,0.0,0.0,0.0,0.0,0.0
refhub.elsevier.com	1	86	0.0015276396	6.0	2.4494898	0.014884043,0.0,0.0,0.0,0.0,0.0
00136	1	86	0.0015276396	6.0	2.4494898	0.014884043,0.0,0.0,0.0,0.0,0.0
data	6	85	0.0015098763	4.0726023	2.02068	5.192108E-4,0.0030821094,3.2092427E-4,0.0011571841,3.0807147E-4,2.945942E-4
variables	4	84	0.0014921131	5.7768607	2.392269	0.011595708,3.8526367E-4,0.0,0.0,0.0012322859,7.3648547E-4
theorem	6	83	0.0014743499	-0.18207778	1.1160742	0.0032883352,0.002263424,3.2092427E-4,4.8216007E-4,6.1614293E-4,0.0010310797
scaling	5	83	0.0014743499	-0.8580231	-0.15196411	0.0,0.0015410547,0.0027813436,0.0016393443,0.0018484289,2.945942E-4
pi	6	83	0.0014743499	1.8416194	1.4864242	0.003980616,0.0020707923,3.2092427E-4,3.8572805E-4,6.1614293E-4,0.0011783768
computer	6	82	0.0014565866	-2.17625	0.49894	8.6535135E-4,0.0018300024,9.627728E-4,0.0017357763,9.2421443E-4,0.0013256739
large	5	78	0.0013855336	2.1725118	-0.18116274	0.0,0.0014447387,0.0011767223,0.0013500482,0.0015403574,0.0026513478
terms	6	77	0.0013677704	5.5864673	2.3404934	0.0064036,5.778955E-4,0.0012836971,8.6788816E-4,3.0807147E-4,8.837826E-4
quantities	6	75	0.0013322439	0.8738356	-0.77136606	5.192108E-4,0.0017336865,0.0011767223,0.0010607522,0.0015403574,0.0013256739
latency	4	75	0.0013322439	1.852785	1.4179835	0.0,9.150012E-4,0.0036371415,0.0017357763,0.0,5.891884E-4
software	6	73	0.0012967173	0.9115362	0.75848055	0.0017307027,6.260534E-4,0.001711596,4.8216007E-4,0.0018484289,0.0033878332
true	3	70	0.0012434276	5.2653093	2.2796345	0.0,0.0017818444,0.0,1.9286403E-4,0.009550216,0.0
λ	1	67	0.0011901378	6.0	2.4494898	0.0,0.0032265831,0.0,0.0,0.0,0.0
ratio	5	67	0.0011901378	-1.2330667	-0.65430576	0.0,0.0017336865,0.0013906718,0.0011571841,0.0012322859,2.945942E-4
side	5	66	0.0011723746	-2.6915798	-0.13671015	0.0,6.260534E-4,0.0018185708,0.0021215044,3.0807147E-4,0.0019148623
fixed	6	66	0.0011723746	-3.2739627	0.009132634	3.4614053E-4,0.0017336865,0.001711596,3.8572805E-4,0.0018484289,2.945942E-4
word	3	62	0.0011013215	1.6061224	1.3515037	0.0,0.0016373706,0.0,0.0014464803,0.004004929,0.0
point	6	61	0.0010835583	-0.5884596	0.095562294	1.7307026E-4,0.0013002648,9.627728E-4,0.0017357763,9.2421443E-4,4.418913E-4
similar	6	60	0.0010657951	3.2212543	1.7254808	3.4614053E-4,8.668433E-4,0.0010697475,0.0024108004,3.0807147E-4,5.891884E-4
model	6	60	0.0010657951	0.5617127	0.84249324	6.9228106E-4,0.001203949,0.0020325202,9.6432015E-4,3.0807147E-4,1.472971E-4
false	2	59	0.0010480318	4.013151	2.0216424	0.0,0.0018781604,0.0,0.0,0.0061614295,0.0
scaled	6	58	0.0010302686	0.5399807	1.218234	1.7307026E-4,0.0018300024,5.3487375E-4,4.8216007E-4,3.0807147E-4,0.0011783768
right	5	58	0.0010302686	-2.4365375	0.16602537	3.4614053E-4,3.8526367E-4,0.0013906718,0.0021215044,0.0,0.0019148623
dimensions	6	58	0.0010302686	3.877461	1.8858731	0.0029421945,0.001203949,3.2092427E-4,4.8216007E-4,9.2421443E-4,7.3648547E-4
results	5	57	0.0010125054	2.3418367	1.2369266	0.0010384216,9.150012E-4,3.2092427E-4,0.0025072324,9.2421443E-4,0.0
computing	6	57	0.0010125054	3.5103948	1.7318426	8.6535135E-4,3.8526367E-4,1.0697475E-4,0.0031822566,0.0012322859,8.837826E-4
r.w	5	56	9.94742E-4	0.8459218	0.37760058	0.0,6.742114E-4,0.0011767223,0.0015429122,0.0024645717,0.0010310797
power	6	56	9.94742E-4	-0.43030983	0.3964995	0.0013845621,6.260534E-4,0.0016046213,9.6432015E-4,9.2421443E-4,0.0010310797
left	6	56	9.94742E-4	-1.4120537	0.38174167	3.4614053E-4,5.778955E-4,0.0012836971,0.0018322082,6.1614293E-4,0.0013256739
τ	2	55	9.769788E-4	5.377836	2.3048851	0.0,7.2236935E-4,0.00427899,0.0,0.0,0.0
using	6	55	9.769788E-4	-0.25643677	1.0815551	0.002596054,6.260534E-4,5.3487375E-4,0.0018322082,6.1614293E-4,1.472971E-4
flop	5	55	9.769788E-4	0.4126451	1.0698526	0.0,5.778955E-4,0.0012836971,3.8572805E-4,0.0036968577,0.0022094564
benchmark	6	55	9.769788E-4	-1.1433085	0.9088906	1.7307026E-4,7.2236935E-4,0.0022464697,4.8216007E-4,3.0807147E-4,0.0017675651
behavior	3	55	9.769788E-4	-2.388471	0.35140577	0.0,0.0013965808,0.001711596,9.6432015E-4,0.0,0.0
work	6	54	9.5921557E-4	-1.1633588	-0.072957285	5.192108E-4,7.2236935E-4,0.0013906718,0.0010607522,0.0015403574,0.0010310797
set	5	54	9.5921557E-4	2.4265227	1.1877779	8.6535135E-4,0.0017818444,4.27899E-4,5.7859207E-4,6.1614293E-4,0.0
second	6	54	9.5921557E-4	1.0443224	-0.31782123	1.7307026E-4,7.7052735E-4,0.0012836971,0.0010607522,0.0018484289,0.0011783768
fraction	3	54	9.5921557E-4	-1.2448251	1.0506982	0.0,2.8894775E-4,0.0,0.0025072324,0.0,0.0032405362
new	5	53	9.4145234E-4	-1.6242065	-0.44201115	0.0,0.0013484228,4.27899E-4,6.750241E-4,0.0015403574,0.0013256739
b1	1	53	9.4145234E-4	6.0	2.4494898	0.0,0.0025523717,0.0,0.0,0.0,0.0
χ	2	52	9.2368905E-4	5.2507763	2.2771196	0.0,0.002311582,4.27899E-4,0.0,0.0,0.0
table	6	52	9.2368905E-4	-1.2111591	-0.34991547	5.192108E-4,0.0010113171,0.0010697475,1.9286403E-4,0.0015403574,0.0016202681
dimensionless	6	52	9.2368905E-4	2.039987	1.1831748	0.0010384216,5.2973756E-4,0.0022464697,2.8929603E-4,9.2421443E-4,0.0011783768
coordinates	5	52	9.2368905E-4	0.79101455	0.3792574	0.0,8.186853E-4,5.3487375E-4,0.0019286403,0.0012322859,8.837826E-4
ν	4	51	9.059258E-4	4.790071	2.1294725	5.192108E-4,0.002167108,0.0,0.0,3.0807147E-4,2.945942E-4
shows	6	51	9.059258E-4	-1.1539849	0.03144374	3.4614053E-4,7.7052735E-4,0.0014976466,0.0010607522,0.0012322859,5.891884E-4
path	5	51	9.059258E-4	0.01916568	0.9136077	0.0,4.3342164E-4,0.0013906718,9.643201E-5,0.0018484289,0.0032405362
paper	6	51	9.059258E-4	-2.3487701	-0.2544577	1.7307026E-4,7.2236935E-4,0.0014976466,0.0015429122,0.0012322859,1.472971E-4
increases	5	51	9.059258E-4	2.7814033	1.5398508	0.0,4.3342164E-4,0.0027813436,4.8216007E-4,9.2421443E-4,0.0011783768
define	6	50	8.881626E-4	-1.0659243	-0.057299748	1.7307026E-4,9.150012E-4,0.0011767223,2.8929603E-4,0.0012322859,0.0017675651
array	5	49	8.703993E-4	5.9947944	2.4481127	0.0076150917,9.631592E-5,1.0697475E-4,9.643201E-5,0.0,1.472971E-4
paths	5	48	8.5263606E-4	-1.9725289	0.70561427	0.0,1.9263184E-4,0.0011767223,9.643201E-5,0.0033887862,0.0030932392
ρ	2	47	8.3487283E-4	5.97733	2.443693	0.0072689513,2.4078978E-4,0.0,0.0,0.0,0.0
π	2	47	8.3487283E-4	5.9316716	2.4323323	0.0067497403,3.8526367E-4,0.0,0.0,0.0,0.0
log	3	47	8.3487283E-4	-1.0342005	1.0764834	0.0,0.0013484228,0.0018185708,1.9286403E-4,0.0,0.0
comput	4	47	8.3487283E-4	0.04820351	1.0262749	1.7307026E-4,7.7052735E-4,0.0022464697,0.0,0.0,0.0013256739
parameter	5	46	8.1710954E-4	1.9183708	0.27503067	5.192108E-4,7.7052735E-4,0.0014976466,7.714561E-4,0.0,7.3648547E-4
θ	1	45	7.993463E-4	6.0	2.4494898	0.0,0.002167108,0.0,0.0,0.0,0.0
shown	6	45	7.993463E-4	1.488796	-0.98855674	8.6535135E-4,7.7052735E-4,0.0011767223,9.6432015E-4,6.1614293E-4,1.472971E-4
physical	5	45	7.993463E-4	4.3844805	2.0626776	0.0034614054,4.8157957E-4,2.139495E-4,0.0010607522,0.0,2.945942E-4
quantity	6	44	7.815831E-4	-1.5494957	-0.4688306	1.7307026E-4,9.6315914E-4,7.488233E-4,3.8572805E-4,0.0012322859,0.0011783768
used	6	43	7.638198E-4	-1.9190401	0.42076606	0.0010384216,8.668433E-4,2.139495E-4,0.0013500482,3.0807147E-4,2.945942E-4
university	6	43	7.638198E-4	-2.08143	-0.18206573	6.9228106E-4,6.260534E-4,7.488233E-4,9.6432015E-4,9.2421443E-4,8.837826E-4
scale	5	43	7.638198E-4	-0.6143183	-0.3697459	0.0,5.778955E-4,0.0013906718,5.7859207E-4,9.2421443E-4,0.0013256739
example	6	43	7.638198E-4	-1.4637469	0.50962955	3.4614053E-4,0.0010594751,4.27899E-4,5.7859207E-4,0.0012322859,7.3648547E-4
single	6	42	7.4605655E-4	5.0129137	2.1848214	1.7307026E-4,1.9263184E-4,0.002674369,6.750241E-4,6.1614293E-4,4.418913E-4
sizes	5	41	7.282933E-4	-2.3756182	0.20236145	0.0,8.186853E-4,1.0697475E-4,0.0012536162,3.0807147E-4,0.0013256739
curve	3	41	7.282933E-4	0.5248486	1.1301337	0.0,9.150012E-4,0.0,0.0017357763,0.0,5.891884E-4
way	5	40	7.1053003E-4	0.25510734	-0.5619845	0.0,8.668433E-4,9.627728E-4,4.8216007E-4,0.0012322859,5.891884E-4
vector	4	39	6.927668E-4	-0.7007591	0.70332366	1.7307026E-4,7.2236935E-4,8.55798E-4,0.0014464803,0.0,0.0
u0	2	39	6.927668E-4	5.962319	2.4399238	1.7307026E-4,0.0,0.0040650405,0.0,0.0,0.0
execution	5	39	6.927668E-4	-0.7171371	-0.985331	0.0,3.371057E-4,9.627728E-4,0.0011571841,9.2421443E-4,0.0011783768
proceedings	6	37	6.572403E-4	-1.3392129	-0.20533091	3.4614053E-4,4.3342164E-4,7.488233E-4,0.0010607522,9.2421443E-4,7.3648547E-4
hockney	5	37	6.572403E-4	-1.4249331	0.14000118	0.0,4.8157957E-4,0.0011767223,0.0011571841,6.1614293E-4,2.945942E-4
definition	4	37	6.572403E-4	-1.0577543	0.7559789	0.0,9.150012E-4,2.139495E-4,0.0012536162,0.0,4.418913E-4
count	4	37	6.572403E-4	2.7045135	1.4612117	0.0,5.778955E-4,5.3487375E-4,0.0016393443,0.0,4.418913E-4
constant	4	37	6.572403E-4	-1.6008307	0.38783062	0.0,6.260534E-4,9.627728E-4,0.0012536162,0.0,2.945942E-4
b2	1	37	6.572403E-4	6.0	2.4494898	0.0,0.0017818444,0.0,0.0,0.0,0.0
asci	3	37	6.572403E-4	-0.2752618	1.2344576	0.0,0.0,0.0018185708,9.643201E-5,0.0,0.0027986448
small	5	36	6.3947705E-4	-0.43965423	-0.3367277	0.0,6.260534E-4,0.0010697475,5.7859207E-4,3.0807147E-4,8.837826E-4
repeating	1	36	6.3947705E-4	6.0	2.4494898	0.0062305294,0.0,0.0,0.0,0.0,0.0
approach	5	36	6.3947705E-4	1.2143829	-1.2395041	6.9228106E-4,5.2973756E-4,0.0,0.0010607522,9.2421443E-4,0.0010310797
tc	2	35	6.217138E-4	-1.0442153	1.1072731	0.0,0.0,0.0014976466,0.0020250722,0.0,0.0
rv	1	35	6.217138E-4	6.0	2.4494898	0.0060574594,0.0,0.0,0.0,0.0,0.0
primary	4	35	6.217138E-4	2.4064834	1.5809549	0.0,0.0013965808,0.0,1.9286403E-4,6.1614293E-4,2.945942E-4
ma	4	35	6.217138E-4	2.0181615	1.5483261	0.0,7.7052735E-4,0.0,0.0016393443,3.0807147E-4,1.472971E-4
level	2	35	6.217138E-4	2.5803978	1.7469923	0.0,0.0013965808,0.0,5.7859207E-4,0.0,0.0
fundamental	4	35	6.217138E-4	5.305156	2.269232	0.0031152647,5.778955E-4,3.2092427E-4,0.0,0.0,2.945942E-4
cray	3	35	6.217138E-4	1.9664481	1.4750525	0.0,8.186853E-4,5.3487375E-4,0.0,0.0,0.0019148623
yields	4	34	6.039505E-4	-1.8917255	-0.08114301	0.0,8.186853E-4,9.627728E-4,3.8572805E-4,0.0,5.891884E-4
python	1	34	6.039505E-4	6.0	2.4494898	0.005884389,0.0,0.0,0.0,0.0,0.0
program	6	34	6.039505E-4	5.5018687	2.3125837	0.002596054,5.2973756E-4,3.2092427E-4,9.643201E-5,3.0807147E-4,4.418913E-4
pp	6	34	6.039505E-4	0.14550929	-1.1090949	6.9228106E-4,7.2236935E-4,3.2092427E-4,4.8216007E-4,6.1614293E-4,7.3648547E-4
m1	1	34	6.039505E-4	6.0	2.4494898	0.0,0.0016373706,0.0,0.0,0.0,0.0
half	4	34	6.039505E-4	-1.4879129	0.7033007	0.0,2.4078978E-4,0.0012836971,5.7859207E-4,0.0,0.0016202681
functions	6	34	6.039505E-4	2.6291118	1.6479632	1.7307026E-4,3.371057E-4,7.488233E-4,0.0014464803,3.0807147E-4,4.418913E-4
computation	6	34	6.039505E-4	5.8034387	2.3965385	3.4614053E-4,1.9263184E-4,3.2092427E-4,0.0022179363,3.0807147E-4,1.472971E-4
scalability	5	33	5.861873E-4	2.203231	1.4103402	0.0,9.631592E-5,0.0020325202,4.8216007E-4,9.2421443E-4,5.891884E-4
result	5	33	5.861873E-4	-0.50023305	-0.28720936	3.4614053E-4,4.3342164E-4,8.55798E-4,9.6432015E-4,0.0,5.891884E-4
ratios	5	33	5.861873E-4	2.7088044	1.0246165	0.0,4.3342164E-4,0.0013906718,4.8216007E-4,6.1614293E-4,5.891884E-4
measurement	5	33	5.861873E-4	-0.36896273	0.6217067	0.0,0.0010113171,1.0697475E-4,6.750241E-4,3.0807147E-4,4.418913E-4
m2	1	33	5.861873E-4	6.0	2.4494898	0.0,0.0015892126,0.0,0.0,0.0,0.0
l0	5	33	5.861873E-4	-1.3454057	0.6004957	0.0,2.4078978E-4,4.27899E-4,7.714561E-4,0.0018484289,0.0014729709
effects	4	33	5.861873E-4	-1.6037878	0.7144693	0.0,4.815796E-5,0.0016046213,0.0012536162,0.0,5.891884E-4
dimension	5	33	5.861873E-4	0.4706369	0.13640974	3.4614053E-4,9.150012E-4,5.3487375E-4,2.8929603E-4,0.0,5.891884E-4
term	6	32	5.6842406E-4	0.31819028	-0.36097327	6.9228106E-4,9.631592E-5,0.0012836971,4.8216007E-4,9.2421443E-4,8.837826E-4
list	4	32	5.6842406E-4	5.9703455	2.4418027	0.0048459675,4.815796E-5,1.0697475E-4,1.9286403E-4,0.0,0.0
log2	3	31	5.5066077E-4	4.971757	2.2159376	0.0,0.0,7.488233E-4,9.643201E-5,0.0,0.0033878332
fluid	3	31	5.5066077E-4	5.969135	2.441597	0.0048459675,4.815796E-5,0.0,1.9286403E-4,0.0,0.0
depends	6	31	5.5066077E-4	-1.734993	0.41679806	1.7307026E-4,5.2973756E-4,7.488233E-4,8.6788816E-4,3.0807147E-4,2.945942E-4
based	6	31	5.5066077E-4	2.2594118	1.0583776	5.192108E-4,5.2973756E-4,2.139495E-4,5.7859207E-4,0.0012322859,7.3648547E-4
related	4	30	5.3289754E-4	-1.5237379	-0.53497607	0.0,5.778955E-4,8.55798E-4,5.7859207E-4,0.0,5.891884E-4
original	5	30	5.3289754E-4	4.757529	2.0996077	3.4614053E-4,3.371057E-4,0.0018185708,9.643201E-5,0.0,4.418913E-4
obtain	6	30	5.3289754E-4	-2.053433	-0.12159062	1.7307026E-4,4.3342164E-4,7.488233E-4,7.714561E-4,9.2421443E-4,2.945942E-4
node	2	30	5.3289754E-4	4.9242887	2.20738	0.0,0.0,5.3487375E-4,0.0024108004,0.0,0.0
factors	5	30	5.3289754E-4	0.6474223	0.846518	0.0,6.742114E-4,5.3487375E-4,1.9286403E-4,3.0807147E-4,0.0011783768
equal	6	30	5.3289754E-4	0.8293787	0.8078405	1.7307026E-4,4.3342164E-4,6.4184854E-4,5.7859207E-4,3.0807147E-4,0.0010310797
distrib	3	30	5.3289754E-4	-1.5490187	0.9369077	0.0,2.8894775E-4,0.0016046213,0.0,0.0,0.0013256739
required	5	29	5.151343E-4	0.90017235	-0.101464145	6.9228106E-4,3.8526367E-4,9.627728E-4,4.8216007E-4,0.0,4.418913E-4
problems	5	29	5.151343E-4	4.780502	2.1368513	0.0022499135,4.3342164E-4,5.3487375E-4,9.643201E-5,0.0,1.472971E-4
press	5	29	5.151343E-4	1.2943124	-0.86303145	0.0,4.3342164E-4,5.3487375E-4,7.714561E-4,9.2421443E-4,5.891884E-4
pa	3	29	5.151343E-4	3.6386166	1.9019433	1.7307026E-4,0.001155791,0.0,3.8572805E-4,0.0,0.0
independent	6	29	5.151343E-4	-1.7644762	-0.4228634	1.7307026E-4,7.7052735E-4,6.4184854E-4,9.643201E-5,6.1614293E-4,4.418913E-4
floating	4	29	5.151343E-4	-1.2733815	-0.28094473	0.0,5.2973756E-4,6.4184854E-4,9.6432015E-4,6.1614293E-4,0.0
α1	2	28	4.97371E-4	5.0212708	2.227879	0.0,5.2973756E-4,0.0,0.0,0.0,0.0025040507
straight	4	28	4.97371E-4	-2.3399642	0.14370035	0.0,7.7052735E-4,5.3487375E-4,5.7859207E-4,0.0,1.472971E-4
robert	5	28	4.97371E-4	-1.3897552	0.6985701	0.0,1.4447387E-4,4.27899E-4,0.0012536162,3.0807147E-4,0.0010310797
represent	3	28	4.97371E-4	-1.368801	0.7908448	0.0,7.2236935E-4,3.2092427E-4,9.6432015E-4,0.0,0.0
reader	4	28	4.97371E-4	-1.3263257	0.6643817	0.0,8.186853E-4,0.0,2.8929603E-4,3.0807147E-4,0.0010310797
important	6	28	4.97371E-4	-0.040387765	0.52959526	3.4614053E-4,4.8157957E-4,5.3487375E-4,6.750241E-4,3.0807147E-4,4.418913E-4
defined	5	28	4.97371E-4	2.1092257	0.5891908	0.0,8.186853E-4,4.27899E-4,3.8572805E-4,3.0807147E-4,2.945942E-4
systems	4	27	4.7960778E-4	5.0124564	2.1842217	1.7307026E-4,2.8894775E-4,3.2092427E-4,0.0016393443,0.0,0.0
science	6	27	4.7960778E-4	-1.0348866	-0.34189883	8.6535135E-4,3.371057E-4,2.139495E-4,5.7859207E-4,6.1614293E-4,7.3648547E-4
relative	5	27	4.7960778E-4	1.3894844	-0.85308176	0.0,6.742114E-4,5.3487375E-4,3.8572805E-4,3.0807147E-4,4.418913E-4
quite	5	27	4.7960778E-4	2.606005	1.2564107	0.0,3.8526367E-4,3.2092427E-4,4.8216007E-4,6.1614293E-4,0.0013256739
particular	5	27	4.7960778E-4	0.97240657	0.755887	0.0,4.3342164E-4,7.488233E-4,4.8216007E-4,0.0012322859,2.945942E-4
involved	6	27	4.7960778E-4	5.645246	2.3620265	0.0020768433,2.4078978E-4,2.139495E-4,4.8216007E-4,3.0807147E-4,2.945942E-4
high	6	27	4.7960778E-4	4.3581233	2.0486333	3.4614053E-4,3.8526367E-4,2.139495E-4,1.9286403E-4,6.1614293E-4,0.0016202681
figure	5	27	4.7960778E-4	0.16965218	-0.35395956	0.0,5.2973756E-4,3.2092427E-4,4.8216007E-4,9.2421443E-4,7.3648547E-4
corresponding	5	27	4.7960778E-4	-1.469116	-0.50010216	1.7307026E-4,3.8526367E-4,7.488233E-4,6.750241E-4,0.0,5.891884E-4
ul	2	26	4.6184452E-4	5.824048	2.406384	0.0,1.9263184E-4,0.0,0.0021215044,0.0,0.0
k0	1	26	4.6184452E-4	6.0	2.4494898	0.0,0.0012521069,0.0,0.0,0.0,0.0
determined	5	26	4.6184452E-4	1.2605822	1.188196	0.0,3.8526367E-4,4.27899E-4,2.8929603E-4,0.0015403574,8.837826E-4
case	4	26	4.6184452E-4	-1.720514	-0.15757646	5.192108E-4,5.778955E-4,3.2092427E-4,7.714561E-4,0.0,0.0
μ	2	25	4.440813E-4	5.9972653	2.4487786	0.0041536866,4.815796E-5,0.0,0.0,0.0,0.0
relationships	5	25	4.440813E-4	-0.8637711	0.9657525	1.7307026E-4,7.7052735E-4,1.0697475E-4,5.7859207E-4,0.0,1.472971E-4
pb	2	25	4.440813E-4	1.4207017	1.5353117	0.0,9.6315914E-4,0.0,4.8216007E-4,0.0,0.0
nx	2	25	4.440813E-4	5.991132	2.4472003	0.0,4.815796E-5,0.0,0.0023143683,0.0,0.0
long	5	25	4.440813E-4	-1.4674578	-0.5505178	0.0,5.778955E-4,6.4184854E-4,1.9286403E-4,3.0807147E-4,5.891884E-4
implies	4	25	4.440813E-4	1.4004906	1.3445977	0.0,5.2973756E-4,1.0697475E-4,0.0010607522,0.0,2.945942E-4
